NOM_IRIS;NE_ID;Date;Duree;Type;volume_nuitee;total_volume_nuitee;sum_vol_nuitee_per_date_com;mean_com_vol_nuitee
Rivières;929470;2024-01-22;Inf30min;Etranger;33.0;4838216.0;33.0;26.666666666666668
Fléac;900132;2023-12-16;Inf30min;National;32.0;4838216.0;32.0;26.5
Fléac;900132;2024-01-07;Inf30min;Etranger;21.0;4838216.0;21.0;26.5
Saint-Laurent-de-Céris;927014;2023-12-04;Inf30min;Etranger;31.0;4838216.0;31.0;25.5
Saint-Laurent-de-Céris;927014;2024-01-16;Inf30min;Etranger;20.0;4838216.0;20.0;25.5
Confolens;939408;2023-11-29;Inf30min;Etranger;22.0;4838216.0;22.0;25.333333333333332
Confolens;939408;2023-12-14;Inf30min;Etranger;29.0;4838216.0;29.0;25.333333333333332
Confolens;939408;2024-01-10;Inf30min;Etranger;25.0;4838216.0;25.0;25.333333333333332
Terres-de-Haute-Charente;909579;2023-12-13;Inf30min;Etranger;21.0;4838216.0;21.0;25.5
Terres-de-Haute-Charente;909579;2024-01-07;Inf30min;Etranger;30.0;4838216.0;30.0;25.5
Liposthey;909242;2024-01-06;Inf30min;Etranger;21.0;4838216.0;21.0;21.0
Labouheyre;907135;2023-12-02;Inf30min;Etranger;27.0;4838216.0;27.0;27.0
Magescq;935714;2024-01-06;Inf30min;Etranger;29.0;4838216.0;29.0;29.0
Castets;940365;2024-01-06;Inf30min;Etranger;25.0;4838216.0;25.0;25.0
Onesse-Laharie;900537;2023-11-30;Inf30min;Etranger;21.0;4838216.0;21.0;34.75
Onesse-Laharie;900537;2023-12-13;Inf30min;Etranger;31.0;4838216.0;31.0;34.75
Onesse-Laharie;900537;2023-12-23;Inf30min;Etranger;50.0;4838216.0;50.0;34.75
Onesse-Laharie;900537;2024-01-07;Inf30min;Etranger;37.0;4838216.0;37.0;34.75
Guéthary;912429;2023-12-03;Inf30min;Etranger;33.0;4838216.0;33.0;33.0
Centre 3;901872;2024-01-04;Inf30min;Etranger;24.0;4838216.0;24.0;24.0
Seignosse;907018;2023-12-05;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Saint-Pandelon;904409;2023-11-29;Inf30min;Etranger;26.0;4838216.0;26.0;26.0
Mendi Choko Karrikatxar Olhette;909719;2023-11-30;Inf30min;Etranger;27.0;4838216.0;27.0;27.0
Biriatou;924336;2023-12-06;Inf30min;Etranger;25.0;4838216.0;25.0;25.0
Serres-Castet;907588;2023-12-07;Inf30min;National;34.0;4838216.0;34.0;34.0
Loudenvielle;928687;2024-01-18;Inf30min;National;23.0;4838216.0;23.0;23.0
Landorthe;931171;2023-12-30;Inf30min;National;29.0;4838216.0;29.0;29.0
Nord-Ouest;903559;2024-01-05;Inf30min;Etranger;26.0;4838216.0;26.0;26.0
Condat-sur-Ganaveix;928163;2024-01-08;Inf30min;Etranger;21.0;4838216.0;21.0;21.0
Orgnac-sur-Vézère;903938;2023-12-03;Inf30min;Etranger;27.0;4838216.0;27.0;27.0
Siorac-en-Périgord;901662;2024-01-02;Inf30min;National;37.0;4838216.0;37.0;37.0
Loubressac;912188;2023-12-17;Inf30min;Etranger;47.0;4838216.0;47.0;47.0
Cressensac-Sarrazac;942931;2024-01-17;Inf30min;Etranger;48.0;4838216.0;48.0;48.0
Bouquet;933372;2023-12-23;Inf30min;National;27.0;4838216.0;27.0;27.0
Saint-Pantaléon-de-Larche;907720;2023-12-06;Inf30min;Etranger;20.0;4838216.0;20.0;23.0
Saint-Pantaléon-de-Larche;907720;2023-12-16;Inf30min;Etranger;23.0;4838216.0;23.0;23.0
Saint-Pantaléon-de-Larche;907720;2023-12-19;Inf30min;Etranger;21.0;4838216.0;21.0;23.0
Saint-Pantaléon-de-Larche;907720;2024-01-07;Inf30min;Etranger;27.0;4838216.0;27.0;23.0
Saint-Pantaléon-de-Larche;907720;2024-01-17;Inf30min;Etranger;24.0;4838216.0;24.0;23.0
La Bachellerie;915893;2023-12-05;Inf30min;Etranger;26.0;4838216.0;26.0;26.0
Voutezac;912638;2023-12-01;Inf30min;Etranger;37.0;4838216.0;37.0;29.5
Voutezac;912638;2024-01-07;Inf30min;Etranger;22.0;4838216.0;22.0;29.5
Ussac;929579;2024-01-07;Inf30min;Etranger;34.0;4838216.0;34.0;34.0
Saint-Germain-les-Vergnes;910427;2024-01-06;Inf30min;Etranger;25.0;4838216.0;25.0;25.0
Rural Est;901227;2023-12-01;Inf30min;National;37.0;4838216.0;37.0;32.5
Rural Est;901227;2023-12-23;Inf30min;National;28.0;4838216.0;28.0;32.5
Vitrac-sur-Montane;907162;2023-12-20;Inf30min;Etranger;21.0;4838216.0;21.0;26.2
Vitrac-sur-Montane;907162;2024-01-07;Inf30min;Etranger;39.0;4838216.0;39.0;26.2
Vitrac-sur-Montane;907162;2024-01-09;Inf30min;Etranger;25.0;4838216.0;25.0;26.2
Vitrac-sur-Montane;907162;2024-01-17;Inf30min;Etranger;22.0;4838216.0;22.0;26.2
Vitrac-sur-Montane;907162;2024-01-23;Inf30min;Etranger;24.0;4838216.0;24.0;26.2
Cayrols;902914;2023-12-06;Inf30min;Etranger;26.0;4838216.0;26.0;23.5
Cayrols;902914;2023-12-27;Inf30min;National;21.0;4838216.0;21.0;23.5
Belair;912041;2023-12-14;Inf30min;National;21.0;4838216.0;21.0;21.0
Zone Industrielle;913700;2023-12-18;Inf30min;National;23.0;4838216.0;23.0;23.0
Val d'Arcomie;947447;2023-12-23;Inf30min;Etranger;23.0;4838216.0;23.0;35.25
Val d'Arcomie;947447;2024-01-26;Inf30min;Etranger;49.0;4838216.0;49.0;35.25
Val d'Arcomie;947447;2024-01-27;Inf30min;Etranger;26.0;4838216.0;26.0;35.25
Val d'Arcomie;947447;2024-01-28;Inf30min;Etranger;43.0;4838216.0;43.0;35.25
Vabres;908269;2024-01-25;Inf30min;Etranger;29.0;4838216.0;29.0;29.0
Massiac;920794;2024-01-28;Inf30min;Etranger;21.0;4838216.0;21.0;21.0
Saint-Georges-sur-Allier;905505;2023-12-02;Inf30min;Etranger;27.0;4838216.0;27.0;24.0
Saint-Georges-sur-Allier;905505;2023-12-23;Inf30min;National;21.0;4838216.0;21.0;24.0
Authezat;900339;2023-11-29;Inf30min;Etranger;22.0;4838216.0;22.0;22.0
Authezat;900339;2024-01-25;Inf30min;Etranger;22.0;4838216.0;22.0;22.0
Beaulieu;912541;2024-01-28;Inf30min;Etranger;37.0;4838216.0;37.0;37.0
Perrier;902385;2024-01-22;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Aydat;928232;2023-12-20;Inf30min;Etranger;50.0;4838216.0;50.0;50.0
Heume-l'Église;940567;2023-12-08;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Saint-Sulpice;935514;2023-11-29;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Sarsonne;901077;2023-11-30;Inf30min;Etranger;22.0;4838216.0;22.0;22.0
La Courtine;912842;2024-01-26;Inf30min;National;66.0;4838216.0;66.0;66.0
Savennes;913846;2023-11-29;Inf30min;Etranger;40.0;4838216.0;40.0;32.333333333333336
Savennes;913846;2023-12-15;Inf30min;National;24.0;4838216.0;24.0;32.333333333333336
Savennes;913846;2024-01-25;Inf30min;Etranger;33.0;4838216.0;33.0;32.333333333333336
Loubeyrat;925296;2023-12-13;Inf30min;Etranger;50.0;4838216.0;50.0;41.5
Loubeyrat;925296;2024-01-06;Inf30min;Etranger;33.0;4838216.0;33.0;41.5
Champs;922233;2024-01-10;Inf30min;Etranger;42.0;4838216.0;42.0;30.0
Champs;922233;2024-01-11;Inf30min;Etranger;25.0;4838216.0;25.0;30.0
Champs;922233;2024-01-20;Inf30min;Etranger;30.0;4838216.0;30.0;30.0
Champs;922233;2024-01-27;Inf30min;Etranger;23.0;4838216.0;23.0;30.0
Les Iles-Buffon;943499;2023-12-11;Inf30min;Etranger;25.0;4838216.0;25.0;25.0
Quinssaines;908027;2023-11-30;Inf30min;Etranger;23.0;4838216.0;23.0;32.75
Quinssaines;908027;2023-12-01;Inf30min;Etranger;40.0;4838216.0;40.0;32.75
Quinssaines;908027;2023-12-06;Inf30min;Etranger;40.0;4838216.0;40.0;32.75
Quinssaines;908027;2023-12-13;Inf30min;Etranger;28.0;4838216.0;28.0;32.75
Banlieue;910002;2023-12-08;Inf30min;National;22.0;4838216.0;22.0;40.5
Banlieue;910002;2023-12-21;Inf30min;Etranger;68.0;4838216.0;68.0;40.5
Banlieue;910002;2023-12-23;Inf30min;National;23.0;4838216.0;23.0;40.5
Banlieue;910002;2024-01-04;Inf30min;Etranger;50.0;4838216.0;50.0;40.5
Banlieue;910002;2024-01-09;Inf30min;Etranger;50.0;4838216.0;50.0;40.5
Banlieue;910002;2024-01-10;Inf30min;Etranger;54.0;4838216.0;54.0;40.5
Banlieue;910002;2024-01-17;Inf30min;Etranger;48.0;4838216.0;48.0;40.5
Banlieue;910002;2024-01-18;Inf30min;Etranger;36.0;4838216.0;36.0;40.5
Banlieue;910002;2024-01-23;Inf30min;Etranger;32.0;4838216.0;32.0;40.5
Banlieue;910002;2024-01-28;Inf30min;Etranger;22.0;4838216.0;22.0;40.5
Saint-Victor;941637;2023-11-27;Inf30min;Etranger;48.0;4838216.0;48.0;42.578947368421055
Saint-Victor;941637;2023-11-29;Inf30min;Etranger;32.0;4838216.0;32.0;42.578947368421055
Saint-Victor;941637;2023-11-30;Inf30min;Etranger;39.0;4838216.0;39.0;42.578947368421055
Saint-Victor;941637;2023-12-01;Inf30min;Etranger;34.0;4838216.0;34.0;42.578947368421055
Saint-Victor;941637;2023-12-02;Inf30min;Etranger;32.0;4838216.0;32.0;42.578947368421055
Saint-Victor;941637;2023-12-04;Inf30min;Etranger;20.0;4838216.0;20.0;42.578947368421055
Saint-Victor;941637;2023-12-06;Inf30min;National;20.0;4838216.0;20.0;42.578947368421055
Saint-Victor;941637;2023-12-07;Inf30min;Etranger;91.0;4838216.0;91.0;42.578947368421055
Saint-Victor;941637;2023-12-14;Inf30min;Etranger;47.0;4838216.0;47.0;42.578947368421055
